Z,AtomicMass,AtomicRadius,BoilingPoint,Density,Electronegativity,IonizationEnergies,MeltingPoint,MolarVolume,Phase,DiscoveryYear,Block,StableIsotopes,HumanAbundance,ElectronAffinity,ThermalConductivity,ElectricalConductivity,MohsHardness
1,0.75,0.6882022471910113,0.7479462670483705,0.75,0.4070121951219511,0.24105957883689388,0.75,0.06228925663673357,0.,0.5258034894398531,0.75,0.08333333333333333,0.03983660715254151,0.5935530085959886,0.7496914683400016,-1,-1
2,0.7423342752018605,0.75,0.75,0.7499970584212284,-1,0.,-1,0.0015212622616980198,0.,0.22953629032258105,0.75,0.08333333333333333,-1,0.75,0.7497423990001404,-1,-1
3,0.7348125747844498,0.3679775280898877,0.5439962625299875,0.7322406298553618,0.6859756097560974,0.6175582888584081,0.6634292779997585,0.6550945449991586,0.75,0.4700602409638561,0.75,0.08333333333333333,0.3707158715011856,0.621919770773639,0.6017492379412765,0.6169354838709677,0.7170329670329669
4,0.7295107707014313,0.5224719101123596,0.3997490166123039,0.6886481588963915,0.5510670731707317,0.39468338926315116,0.4455730164814105,0.740876151487493,0.75,0.5250918273645546,0.75,0.,0.4658301478302522,0.75,0.41860816552436636,0.4475806451612903,0.3131868131868132
5,0.7249061629861233,0.5926966292134832,0.20409450752182878,0.6683293529353177,0.44359756097560965,0.4420879119325174,0.2904198848033939,0.75,0.75,0.4985240963855433,0.5625,0.08333333333333333,0.30132394041679017,0.692621776504298,0.7029128779429985,0.7499999999987903,0.
6,0.721835175328642,0.6488764044943821,0.2006417808908204,0.6749694856023353,0.3269817073170731,0.31781316802481463,0.,0.7333400576403372,0.75,0.6524334251606979,0.5625,0.08333333333333333,0.021487616630139872,0.41926934097421203,0.5058182000086093,0.7487903225806452,0.7252747252747253
7,0.7167258218533294,0.6797752808988764,0.7406469471928905,0.7499614507098016,0.21493902439024382,0.2139702941469399,0.7403442771859265,0.06240966482220728,0.,0.5256657483930212,0.5625,0.08333333333333333,0.06951264373191533,0.7349570200573066,0.7499612438606751,-1,-1
8,0.7116249157059069,0.702247191011236,0.7389985899234943,0.7499555409917279,0.1234756097560975,0.24047062286725662,0.7419588148505962,0.062411087923364694,0.,0.5256198347107438,0.5625,0.16666666666666669,0.,0.4469914040114613,0.7499599357101578,-1,-1
9,0.7039480783199382,0.7191011235955057,0.7396661170721559,0.7499466764146174,0.,0.14019422480333033,0.7422147781388975,0.062366720495825534,0.,0.24749999999999994,0.5625,0.,0.2139178576671588,0.045128939828080195,0.7499579822053855,-1,-1
10,0.7009257349840812,0.7303370786516854,0.747077970240054,0.7499731041426322,-1,0.0533782201458779,0.7479227594680165,0.0015303270174070738,0.,0.22354838709677471,0.5625,0.16666666666666669,-1,0.75,0.7499206563106262,-1,-1
11,0.6937309940754026,0.303370786516854,0.60269261525713,0.7178647426312688,0.6974085365853657,0.6371100988422262,0.6797361084129226,0.602085972893801,0.75,0.5016867469879529,0.75,0.,0.13387603601593617,0.6365329512893982,0.5058182000086093,0.4959677419354839,0.7252747252747253
12,0.6903642713048266,0.42977528089887646,0.5762217110860657,0.6923002318632512,0.6105182926829267,0.4753890559052487,0.5709950277490458,0.6485181900503669,0.75,0.5260560146923783,0.75,0.16666666666666669,0.17013313745509712,0.75,0.4709341862149121,0.4717741935483871,0.5604395604395604
13,0.6835128776185949,0.50561797752809,0.39348295717084425,0.6603611937348967,0.5419207317073169,0.5750304591051947,0.5689630730296078,0.6779793112063396,0.75,0.44475903614457923,0.5625,0.,0.29578748279411576,0.6586676217765043,0.34011913448854764,0.2903225806451613,0.5398351648351648
14,0.6806869612780634,0.5252808988764046,0.3447611480443926,0.6726454391688792,0.4756097560975609,0.44931949837581353,0.4205673721627454,0.6615425995745268,0.75,0.44792168674698885,0.5625,0.16666666666666669,0.17096455699583799,0.4628939828080229,0.4883761931117607,0.7499879032258064,0.23076923076923084
15,0.6732935988094695,0.5617977528089888,0.6797395706342615,0.6894781754797686,0.40929878048780477,0.34680288185763475,0.6902739200974498,0.6314479894669963,0.75,0.5280303030303031,0.5625,0.,0.08846288023228627,0.5974212034383954,0.749594665201724,0.6290322580645161,-1
16,0.6705002517815671,0.5926966292134832,0.6587393199918838,0.6849296846028616,0.32012195121951215,0.35174000597509414,0.6762924177110844,0.6347650985695908,0.75,0.5778236914600551,0.5625,0.25,0.12601848591149356,0.32020057306590255,0.7496487354231043,0.75,0.6016483516483516
17,0.6618276618144533,0.6151685393258428,0.719962557097868,0.7498962778076748,0.1874999999999999,0.26037080686108194,0.7189614978709106,0.06371602957612948,0.,0.5256198347107438,0.5625,0.08333333333333333,0.1372719759633877,0.,0.7499907731783515,0.7499999998790322,-1
18,0.6503213773096786,0.6376404494382023,0.7393694383394175,0.749943754756244,-1,0.18100815181604135,0.7362488645731058,0.0016431894760633448,0.,0.23153225806451672,0.5625,0.16666666666666669,-1,0.75,0.7499753893282685,-1,-1
19,0.652496436251549,0.154494382022472,0.6185495820069463,0.7215832169247987,0.722560975609756,0.7058005090808579,0.68649747712082,0.5447506020304945,0.75,0.5016867469879529,0.75,0.08333333333333333,0.12601848591149356,0.6459885386819484,0.5755862275960038,0.5806451612903226,0.7335164835164835
20,0.6499886037867375,0.2921348314606742,0.5258374780261657,0.6985419565702476,0.6814024390243901,0.5664532492742884,0.5331912190153159,0.59463401865241,0.75,0.4985240963855433,0.75,0.3333333333333333,0.08315007938397484,0.7449068767908309,0.40116615862751775,0.3991935483870968,0.6222527472527473
21,0.6375021425495285,0.3202247191011237,0.3537126615321921,0.6508990046843967,0.5990853658536583,0.5376205118858417,0.3955617278440803,0.6420187399870985,0.75,0.2739759036144589,0.1875,0.,-1,0.7111031518624642,0.722099085529532,0.728225806451613,-1
22,0.6300503501698989,0.3426966292134832,0.2952720663332724,0.600367595088393,0.5579268292682926,0.5214259628621036,0.3705560835254152,0.6726407845298922,0.75,0.5252295684113866,0.1875,0.3333333333333333,-1,0.7336676217765044,0.7116338813914228,0.719758064516129,0.271978021978022
23,0.6221802563523394,0.3567415730337079,0.2799266146399018,0.5471469317622473,0.5373475609756097,0.5263358088068149,0.3229075329339431,0.6938607131248554,0.75,0.525,0.1875,0.,0.3707158715011856,0.6412607449856733,0.695936075184259,0.6895161290322581,0.18956043956043955
24,0.6194806951423872,0.37078651685393266,0.3740453850259081,0.5112902153603524,0.5304878048780487,0.5250871991364359,0.32349821744540763,0.7063338275641743,0.75,0.5250918273645546,0.1875,0.25,0.3707158715011856,0.6118194842406877,0.5860514317341129,0.6544354838709677,0.06593406593406603
25,0.6119499151273929,0.38483146067415736,0.45205143113387536,0.5019940296265277,0.5556402439024389,0.4868021387220529,0.4536457048047591,0.7048580314203602,0.75,0.5256198347107438,0.1875,0.,0.3289223124393383,0.75,0.7365759512539163,0.7425,0.271978021978022
26,0.6096282950466303,0.3988764044943821,0.34974841984473803,0.48858096163915227,0.4916158536585365,0.46193201972512066,0.3961524123555448,0.7080402120681865,0.75,0.612258953168044,0.1875,0.25,0.20326796710031964,0.7162607449856734,0.6122144420793858,0.6290322580645161,0.4368131868131868
27,0.6017231448183272,0.41011235955056186,0.3413084214133842,0.45451708105735217,0.4801829268292682,0.4630544400385661,0.4046188903532031,0.7140596781315057,0.75,0.5265151515151515,0.1875,0.,0.3796482690713001,0.61310888252149,0.5755862275960038,0.5443548387096775,0.3543956043956044
28,0.6023369711793556,0.4185393258426967,0.3430987241109441,0.4542514757506715,0.4733231707317072,0.4757202064547119,0.41249468383939686,0.7144958975533474,0.75,0.526147842056933,0.1875,0.3333333333333333,0.3441923469443089,0.5093123209169055,0.5912840338031675,0.5806451612903226,0.4368131868131868
29,0.5899153035068596,0.42977528089887646,0.3879841703140531,0.4525250412572469,0.4756097560975609,0.4711084403617378,0.4854205936248077,0.7080419634824088,0.75,0.75,0.1875,0.08333333333333333,0.2934663903123476,0.4955587392550143,0.052326020690545816,0.03629032258064524,0.5192307692307692
30,0.5852206370370583,0.4382022471910113,0.5996235249184558,0.5129502485271067,0.5327743902439024,0.3915733573844298,0.6163733808681224,0.6856414408326087,0.75,0.5319100091827365,0.1875,0.3333333333333333,0.2164383180530737,0.75,0.5407022138023065,0.5443548387096775,0.5604395604395604
